title,name,Price Per Unit,Price Per Measure,Promotion,
Cow & Gate 2 Follow On Baby Milk Formula,Cow & Gate 2 Fo...800g,£10.50,£1.31 per 100g,,baby-toddler
Organix Choco Orange Soft Oaty Bars 12+ Months,Organix Choco Ora...6 x 30g,£3.00,£1.67 per 100g,,baby-toddler
Organix Apple Rice Cake Clouds Multipack ,Organix Apple R...4 x 18g,£2.80,£3.89 per 100g,,baby-toddler
Aptamil 2 Follow On Baby Milk Formula  ,Aptamil 2 Fol...800g,£14.50,£1.81 per 100g,,baby-toddler
Organix Strawberry & Apple Soft Oaty Bars 12+ Months ,Organix Strawbe...6 x 30g,£3.00,£1.67 per 100g,,baby-toddler
Organix Jammie Monsters Organic Jam Toddler Snack Biscuits Multipack,Organix Jammi...8 x 8g,£2.80,£4.38 per 100g,,baby-toddler
 Organix Raspberry & Apple Soft Oaty Bars 12+ Months , Organix Raspbe...180g,£3.00,£1.67 per 100g,,baby-toddler
Organix Carrot Cake Soft Oaty Bars 12+ Months ,Organix Carrot Ca...180g,£3.00,£1.67 per 100g,,baby-toddler
Organix Cocoa & Vanilla Gruffalo Biscuits 12+ Months,Organix Cocoa &...5 x 20g,£2.80,£2.80 per 100g,,baby-toddler
Organix Goodies Gingerbread Men Biscuits,Organix Goodies...135g,£2.30,£1.70 per 100g,,baby-toddler
Organix Mini Organic Cheese Crackers Toddler Snack Multipack,Organix Mini Or...80g,£2.20,£2.75 per 100g,,baby-toddler
Organix Banana Organic Soft Oat Snack Bars Multipack,Organix Banana...6 x 30g,£3.00,£1.67 per 100g,,baby-toddler
Organix Apple & Orange Soft Oaty Bars 12+ Months,Organix Apple & Ora...180g,£3.00,£1.67 per 100g,,baby-toddler
Vaseline Petroleum Jelly,Vaseline Petroleum Jelly100ml,£2.00,£2.00 per 100ml,,baby-toddler
Cussons Antibacterial Carex Protects Moisture Plus Hand Gel,Cussons Antibacte...50ml,£1.00,£2.00 per 100ml,"Offer price £1, was £1.25",baby-toddler
Peppa Pig Strawberry Fromage Frais,Peppa Pig Strawbe...6 x 45g,£1.00,37p per 100g,,baby-toddler
Morrisons Kids 2 In 1 Strawberry Shampoo & Conditioner,Morrisons Kids...250ml,£1.00,40p per 100ml,,baby-toddler
Aptamil Pre-Measured Tabs 2 Follow On Milk 6-12 Months 24 Sachets,Aptamil Pre-Measured Tabs 2 Follow On...576g,£14.50,£2.52 per 100g,,baby-toddler
Bio-Oil Skincare Oil  Helps Improve the Appearance of Scars & Stretch Marks,Bio-Oil Skincare Oil  Helps Improve the Appea...60ml,£10,£16.67 per 100ml,,baby-toddler
Cow & Gate 3 Growing Up Milk Formula Multipack,Cow & Gate 3 Growing Up Milk Formula Multipack15 x 200ml,£8.55,28.5p per 100ml,,baby-toddler
Cow & Gate Follow On Milk,Cow & Gate Follow On Milk2 x 600g,£12.50,£1.04 per 100g,,baby-toddler
Organix Animal Biscuits,Organix Animal Biscuits100g,£2,£2.00 per 100g,,baby-toddler
