name,Price Per Unit,Price Per Measure,Promotion
Morrisons Cream Crackers,Morrisons C…300g,55p,18.3p per 100g,
Wikinger 5 Hot Dogs Bockwurst Style in Brine (380g),Wikinger 5 Hot…200g,£1.49,74.5p per 100g,
Morrisons Tomato Puree,Morrisons Tomato Puree200g,59p,£2.95 per kg,"Offer price 59p, was 79p"
7 Days Cocoa Filling Croissants  Family Pack,7 Days Cocoa Filling Croissants  Family Pack5 per pack,£1.09,21.8p each,
7 Days Croissants With Cocoa Filling,7 Days Croissants With Cocoa Filling80g,59p,73.8p per 100g,
7 Days Mini Croissant With Cocoa Filling ,7 Days Mini Croissant With Cocoa Filling 185g,£1.09,58.9p per 100g,
Avengers Celebration Cake Serves 16,Avengers Celebration Cake Serves 16,£13.99,,
Bonne Maman Madeleine 7 Freshly Wrapped Cakes ,Bonne Maman Madeleine 7 Freshly Wrapped Cakes 7 per pack,£2.59,37p each,
Bonne Maman Madeleine With Milk Chocolate 7 Freshly Wrapped Cakes ,Bonne Maman Madeleine With Milk Chocola…7 per pack,£2.59,37p each,
Bosh Vanilla Happy Birthday Vegan Celebration Cake,Bosh Vanilla Happy Birthday…,£8.99,,
Brioche Pasquier Pitch Choc Chip Brioche,Brioche Pasquier Pitch Choc Chip Brioche6 per pack,£1.75,29.2p each,
Brioche Pasquier Pitch Chocolate Flavour Filled Brioche,Brioche Pasquier Pitch Chocolat…6 per pack,£1.75,29.2p each,
Cadbury Cake Bars Crunchie,Cadbury Cake Bars Crunchie5 per pack,£2.25,45p each,
Cadbury Cake Bars Fudge,Cadbury Cake Bars Fudge5 per pack,£2.25,45p each,
Cadbury Chocolate Mini Rolls,Cadbury Chocolate Mini Rolls5 per pack,£2.35,47p each,
Cadbury Creme Egg Chocolate Cakes,Cadbury Creme Egg Chocolate Cakes5 per pack,£2.25,45p each,
Cadbury Crunchie Celebration Cake Serves 14,Cadbury Crunchie Celebr…,£14.99,,
Cadbury Dairy Milk Brownie Mini Bites ,Cadbury Dairy Milk Brownie Mini Bites 14 per pack,£2.39,17.1p each,Buy 2 for £3.50
Cadbury Dairy Milk Caramel Layer Celebration Cake Serves 8,Cadbury Dairy Milk Caramel Layer…,£4.99,,
Cadbury Dairy Milk Cookies Mini Bites,Cadbury Dairy Milk Cookies Mini Bites196g,£2.39,£1.22 per 100g,Buy 2 for £3.50
Cadbury Dairy Milk Cornflake Cluster Mini Bites,Cadbury Dairy Milk Cornfl…,£2.39,,Buy 2 for £3.50
Cadbury Flake Celebration Cake Serves 12,Cadbury Flake Celebration Cake Serves 12,£14.99,,
Cadbury Heroes Cupcakes ,Cadbury Heroes Cupcakes 9 per pack,£7.99,88.8p each,
Cadbury Milk Chocolate Cake Bars,Cadbury Milk Chocolate Cake Bars5 per pack,£2.25,45p each,
Cadbury Mini Eggs Chocolate Cakes,Cadbury Mini Eggs Chocolate Cakes5 per pack,£2.25,45p each,
Cadbury Mini Eggs Nest Cakes ,Cadbury Mini Eggs Nest Cakes 4 per pack,£2.50,62.5p each,
Cadbury Mini Rolls Milk Chocolate Family Size,Cadbury Mini Rolls Milk Chocolate Family Size10 per pack,£3,30p each,
Cadbury Mini Rolls Raspberry Family Size,Cadbury Mini Rolls Raspberry Family Size10 per pack,£3,30p each,
Cadbury Raspberry Mini   Rolls,Cadbury Raspberry Mini   Rolls5 per pack,£2.35,47p each,
Cadburys Caramel Cake Bars,Cadburys Caramel Cake Bars5 per pack,£2.25,45p each,
Cadburys Chocolate Gateau with Mini Eggs,Cadburys Chocolate Gateau with Mini Eggs,£3.25,,
Carbzone LowCarb Tomato Tortillas Wraps,Carbzone LowCarb Tomato Tortillas Wraps8 x 40g,£5,£1.56 per 100g,
Cocomelon Celebration Cake Serves 16,Cocomelon Celebration Cake Serves 16,£13.99,,
Comerford Choc Roll ,Comerford Choc Roll 400g,£1.99,49.8p per 100g,"Offer price £1.99, was £2.25"
Comerford Ripple Roll,Comerford Ripple Roll400g,£1.99,49.8p per 100g,"Offer price £1.99, was £2.25"
Deli Kitchen Carb Lite Wraps,Deli Kitchen Carb Lite Wraps6 per pack,£1.75,29.2p each,
Deli Kitchen Greek Style Flatbreads,Deli Kitchen Greek Style Flatbreads4 per pack,£1.65,41.3p each,
Deli Kitchen Mini Plain Tortillas,Deli Kitchen Mini Plain Tortillas6 per pack,£1.09,18.2p each,
Deli Kitchen Plain Folded Flatbreads,Deli Kitchen Plain Folded Flatbreads6 per pack,£1.40,23.3p each,
Deli Kitchen Plain Tortillas,Deli Kitchen Plain Tortillas6 per pack,£1.59,26.5p each,
Deli Kitchen Sliced Focaccia,Deli Kitchen Sliced Focaccia4 per pack,£1.65,41.3p each,
Deli Kitchen Wheat & White Tortillas,Deli Kitchen Wheat & White Tortillas6 per pack,£1.59,26.5p each,
Dessert Company Chocolate Eclairs,Dessert Company Chocolate Eclairs2 per pack,£2,£1.00 each,
Dessert Company Strawberry Eclairs,Dessert Company Strawberry Eclairs2 per pack,£2,£1.00 each,
Dina Paninette Large White Bread Wraps,Dina Paninette Large White Bread Wraps5 per pack,£1.05,21p each,
Dina Paninette Wholemeal Bread Wraps,Dina Paninette Wholemeal Bread Wraps5 per pack,£1.05,21p each,
Dina White Mini Pitta Bread,Dina White Mini Pitta Bread8 per pack,65p,8.1p each,
Dina White Pitta Bread,Dina White Pitta Bread420g,65p,15.5p per 100g,
Disney Princess Celebration Cake Serves 16,Disney Princess Celebra…,£13.99,,
Dr. Oetker 18 Party Candles,Dr. Oetker 18 Party Candles,£1.55,,
Dr. Oetker 18 Tall Candles,Dr. Oetker 18 Tall Candles18 per pack,£1.49,8.3p each,
Dr. Oetker 6 Celebration Candles,Dr. Oetker 6 Celebration Candles,£1.99,,
Dr. Oetker Lettered Happy Birthday Candles,Dr. Oetker Lettered Happy Birthday Candles,£1.95,,
Galaxy Caramel Cake Bars,Galaxy Caramel Cake Bars5 per pack,£2,40p each,Buy 2 for £2.50
Galaxy Chocolate Cake Bars,Galaxy Chocolate Cake Bars5 per pack,£2,40p each,Buy 2 for £2.50
Galaxy Ripple Indulgent Chocolate Celebration Cake Serves 12,Galaxy Ripple Indulgent Chocolate C…,£13.99,,
Galaxy Triple Chocolate Celebration Cake Serves 8,Galaxy Triple Chocolate Celebration Cake Serves 8,£3.99,,
Genius Gluten Free Chocolate Cupcake ,Genius Gluten Free Chocolate Cupcake 2 per pack,£2.39,£1.20 each,Buy 2 for £3.20
Genius Gluten Free Crumpets ,Genius Gluten Free Crumpets 220g,£2.25,£1.02 per 100g,Buy 2 for £3.20
Genius Gluten Free Sliced Spicy Fruit Loaf ,Genius Gluten Free Sliced Spicy Fruit Loaf 400g,£2.69,67.3p per 100g,
Genius Gluten Free Soft Brown Sandwich loaf,Genius Gluten Free Soft Brown Sandwich loaf535g,£2.90,54.2p per 100g,
Genius Gluten Free Soft White Farmhouse Loaf,Genius Gluten Free Soft White Farmhouse Loaf535g,£2.90,54.2p per 100g,
Genius Gluten Free Triple Seeded Sandwich Loaf,Genius Gluten Free Triple Seeded Sandwich Loaf535g,£2.99,55.9p per 100g,
