name,Price Per Unit,Price Per Measure,Promotion
Schweppes Bitter Lemon ,Schweppes Bitter Lemon 1L,£1.90,19p per 100ml,
Diet Coke ,Diet Coke 1.25L,£1.00,8p per 100ml,
Volvic Touch of Fruit Sugar Free Strawberry Natural Flavoured Water,Volvic Touch of F…1.5L,£1.20,8p per 100ml,Buy 2 for £2
Schweppes Slimline Lemonade ,Schweppes Sli…2L,£1.35,6.8p per 100ml,
Alpro Soya Chilled Drink,Alpro Soya Chilled Drink1L,£1.95,£1.95 per litre,
Schweppes Original Soda Water ,Schweppes Origi…1L,£1.90,19p per 100ml,
evian Natural Mineral Water,evian Natural Mineral Water6 x 50cl,£2.65,8.8p per 100ml,
Red Bull Energy Drink Sugar Free,Red Bull Energy…4 x 250ml,£3.50,35p per 100ml,"Offer price £3.50, was £4.99"
Schweppes Slimline Bitter Lemon ,Schweppes Sliml…1L,£1.90,19p per 100ml,
Diet Coke No Caffeine ,Diet Coke No Caffeine 2L,£1.99,10p per 100ml,Buy 2 for £3.50
Volvic Touch of Fruit Sugar Free Summer Fruits Natural Flavoured Water,Volvic Touch of F…1.5L,£1.20,8p per 100ml,Buy 2 for £2
Volvic Touch of Fruit Sugar Free Lemon & Lime Natural Flavoured Water,Volvic Touch of F…1.5L,£1.20,8p per 100ml,Buy 2 for £2
Schweppes Slimline Elderflower Tonic Water ,Schweppes Sliml…1L,£1.90,19p per 100ml,
Diet Coke ,Diet Coke 500ml,£1.79,35.8p per 100ml,Buy 2 for £2.50
Coca-Cola Zero Sugar ,Coca-Cola Zero Sugar 4 x 250ml,£2.50,25p per 100ml,"Offer price £2.50, was £3.89"
Diet Coke ,Diet Coke 4 x 330ml,£2.50,18.9p per 100ml,
Diet Coke ,Diet Coke 8 x 330ml,£3.75,14.2p per 100ml,
Diet Coke No Caffeine ,Diet Coke No Caffeine 8 x 330ml,£3.75,14.2p per 100ml,
Red Bull Energy Drink Sugar Free ,Red Bull Energy D…8 x 250ml,£8.50,42.5p per 100ml,
Diet Coke,Diet Coke6 x 250ml,£5.39,35.9p per 100ml,
Morrisons Classic Houmous,Morrisons C…200g,£1.35,67.5p per 100g,Buy 2 for £2
