name,Price Per Unit,Price Per Measure,Promotion
Morrisons Market Street 2 Smoked Haddock Fillets,Morrisons Market St…220g,£4.25,£19.32 per kg,
Morrisons Sliced Curly Kale,Morrisons Sli…150g,79p,52.7p per 100g,
Morrisons The Best Asparagus Tips,Morrisons The Bes…125g,£1.99,£1.59 per 100g,
Bradleys Jellied Eels,Bradleys Jellied Eels200g,£3,£1.50 per 100g,
Market Street Cooked Squid Tentacles,Market Street Cooked Squid Tentacles200g,£4.25,£21.25 per kg,Buy 3 for £10
Morrisons 24 British Beef Meatballs ,Morrisons 24 British Beef Meatballs 645g,£4.25,£6.59 per kg,Buy 3 for £10
Morrisons 2 Cod Fish Cakes,Morrisons 2 Cod Fish Cakes270g,£1.70,£6.30 per kg,
Morrisons 4 Breaded Chicken Steaks,Morrisons 4 Breaded Chicken Steaks500g,£3.99,£7.98 per kg,
Morrisons Battered Cod Bites,Morrisons Battered Cod Bites200g,£2.50,£12.50 per kg,
Morrisons Beef Denver Steak,Morrisons Beef Denver Steak300g,£4,£13.33 per kg,Buy 3 for £10
Morrisons Bone In Pork Chops,Morrisons Bone In Pork Chops400g,£4.25,£1.06 per 100g,Buy 3 for £10
Morrisons Breaded Chicken Goujons,Morrisons Breaded Chicken Goujons650g,£4.25,£6.54 per kg,Buy 3 for £10
Morrisons Breaded Chunky Cod Fish Fingers,Morrisons Breaded Chunky Cod Fish Fingers300g,£3.50,£11.67 per kg,Buy 3 for £10
Morrisons Breaded Pollock Fillets,Morrisons Breaded Pollock Fillets600g,£3.75,£6.25 per kg,Buy 3 for £10
Morrisons British Lean Diced Beef,Morrisons British Lean Diced Beef350g,£4.25,£1.21 per 100g,Buy 3 for £10
Morrisons British Pork Loin Steaks,Morrisons British Pork Loin Steaks400g,£4.25,£1.06 per 100g,Buy 3 for £10
Morrisons British Pork Shoulder Steaks,Morrisons British Pork Shoulder Steaks500g,£4.25,£8.50 per kg,Buy 3 for £10
Morrisons British Whole Chicken ,Morrisons British Whole Chicken 1.4kg,£4.25,£3.04 per kg,Buy 3 for £10
Morrisons Chicken Drumsticks & Thigh,Morrisons Chicken Drumsticks & Thigh1.2kg,£4.25,35.4p per 100g,Buy 3 for £10
Morrisons Chicken Fillet,Morrisons Chicken Fillet400g,£4.25,£1.06 per 100g,Buy 3 for £10
Morrisons Chicken Mini Fillet,Morrisons Chicken Mini Fillet450g,£4.25,94.4p per 100g,Buy 3 for £10
Morrisons Cold Smoked Salmon ,Morrisons Cold Smoked Salmon 200g,£4.99,£24.95 per kg,
Morrisons Cold Water Prawns,Morrisons Cold Water Prawns200g,£3.75,£1.88 per 100g,Buy 3 for £10
Morrisons Cooked & Peeled King Prawns ,Morrisons Cooked & Peeled King Prawns 150g,£3.75,£2.50 per 100g,Buy 3 for £10
Morrisons Fishmonger Cooked Mussels ,Morrisons Fishmonger Cooked Mussels 175g,£1.75,£1.00 per 100g,
Morrisons Fishmonger Fish Pie Mix ,Morrisons Fishmonger Fish Pie Mix 340g,£4.50,£13.24 per kg,
Morrisons Fishmonger Kipper Fillets ,Morrisons Fishmonger Kipper Fillets 200g,£1.30,£6.50 per kg,
Morrisons Fishmonger Large Seafood Selection ,Morrisons Fishmonger Large Seafood Selection 234g,£2.59,£1.11 per 100g,"Offer price £2.59, was £2.99"
Morrisons Fishmonger Salmon Fishcakes ,Morrisons Fishmonger Salmon Fishcakes 2 x 135g,£1.70,£6.30 per kg,
Morrisons Fishmonger Scottish Mussels in Garlic Butter Sauce ,Morrisons Fishmonger Scottish Musse…500g,£2.50,£5.00 per kg,
Morrisons Fishmonger Scottish Mussels in White Wine Sauce ,Morrisons Fishmonger Scottish Mus…500g,£2.50,£5.00 per kg,
Morrisons Fishmongers Frozen Raw Peeled Argentinian Red Shrimp,Morrisons Fishmongers Frozen Raw Pe…150g,£4.25,£28.33 per kg,Buy 3 for £10
Morrisons Fishmongers Frozen Ready To Cook Breaded Squid Rings,Morrisons Fishmongers Frozen Ready…300g,£4.25,£14.17 per kg,Buy 3 for £10
Morrisons Fishmongers Frozen Yellow Fin Tuna Steaks ,Morrisons Fishmongers Frozen…225g,£4.25,£18.89 per kg,Buy 3 for £10
Morrisons Fishmonger Smoked Haddock Fishcakes ,Morrisons Fishmonger Smok…2 x 135g,£1.70,£6.30 per kg,
Morrisons Fishmongers Raw PatagonianScallops,Morrisons Fishmongers Raw PatagonianScallops125g,£4.25,£34.00 per kg,Buy 3 for £10
Morrisons Fish Pie Sauce,Morrisons Fish Pie Sauce250g,£1.25,50p per 100g,
Morrisons Global Grill BBQ Chicken Wings,Morrisons Global Grill BBQ Chicken Wings750g,£4.25,£5.67 per kg,Buy 3 for £10
Morrisons Global Grill Beef Burger,Morrisons Global Grill Beef Burger,£4.25,,Buy 3 for £10
Morrisons Global Grill Cajun Style Chicken Breast Steaks,Morrisons Global Grill Cajun St…350g,£4.25,£12.14 per kg,Buy 3 for £10
Morrisons Global Grill Chinese Style Chicken Drumsticks & Thighs,Morrisons Global Grill Chinese Style…750g,£4.25,£5.67 per kg,Buy 3 for £10
Morrisons Global Grill Honey Chilli & Garlic Pork Belly Slices,Morrisons Global Grill Honey Chilli…455g,£4.25,£9.34 per kg,Buy 3 for £10
Morrisons Global Grill Mango & Lime Steaks,Morrisons Global Grill Mango & Lime Steaks350g,£4.25,£12.14 per kg,Buy 3 for £10
Morrisons Golden Breaded Haddock ,Morrisons Golden Breaded Haddock 284g,£3,£1.06 per 100g,
Morrisons Hot Smoked Honey Roast Salmon Fillets 2 Pack,Morrisons Hot Smoked Honey Roas…180g,£4.50,£2.50 per 100g,
Morrisons Hot Smoked Sweet Chili Salmon Fillet 2 Pack,Morrisons Hot Smoked Sweet Ch…180g,£4.50,£2.50 per 100g,
Morrisons Katsu Whitefish Goujons,Morrisons Katsu Whitefish Goujons200g,£2.50,£12.50 per kg,
Morrisons Market St 2 Battered Haddock Fillets,Morrisons Market St 2 Battered Haddock Fillets300g,£3.75,£12.50 per kg,Buy 3 for £10
Morrisons Market St Battered Cod Fillets,Morrisons Market St Battered Cod Fillets300g,£3.75,£12.50 per kg,Buy 3 for £10
Morrisons Market St Gluten Free Cod Fishcakes,Morrisons Market St Gluten Free Cod Fishcakes270g,£1.70,£6.30 per kg,
Morrisons Market St King Prawns With Seafood Sauce,Morrisons Market St King Pr…100g,£1.50,£1.50 per 100g,
Morrisons Market St Raw Peeled King Prawns,Morrisons Market St Raw Peeled King Prawns150g,£3.75,£25.00 per kg,Buy 3 for £10
Morrisons Market Street 2 Cod Fillets,Morrisons Market Street 2 Cod Fillets220g,£4.25,£19.32 per kg,
Morrisons Market Street 2 Haddock Fillets,Morrisons Market Street 2 Haddock Fillets220g,£4.25,£19.32 per kg,Buy 3 for £10
Morrisons Market Street 2 Salmon Fillets ,Morrisons Market Street 2 Salmon Fillets 220g,£4.49,£20.41 per kg,
Morrisons Market Street 2 Sea Bass Fillets,Morrisons Market Street 2 Sea Bass Fillets180g,£4.25,£23.61 per kg,Buy 3 for £10
Morrisons Market Street Beef And Pork Mince,Morrisons Market Street Beef And Pork Mince650g,£4.25,65.4p per 100g,Buy 3 for £10
Morrisons Market Street British Turkey Thigh Mince ,Morrisons Market Street British Turkey Thigh Mince 750g,£4.25,£5.67 per kg,Buy 3 for £10
Morrisons Market Street Cooked Cockle Meat ,Morrisons Market Street Cooked Cockle Meat 180g,£4.25,£23.61 per kg,Buy 3 for £10
Morrisons Market Street Cooked Half Shell Mussels ,Morrisons Market Street Cooked Half Shell Mussels 350g,£4.25,£1.21 per 100g,Buy 3 for £10
Morrisons Market Street Cooked Jumbo King Prawns ,Morrisons Market Street Coo…200g,£4.25,£2.13 per 100g,Buy 3 for £10
Morrisons Market Street Cooked Large Cold Water Prawns,Morrisons Market Street Cooked…210g,£4.25,£2.02 per 100g,Buy 3 for £10
Morrisons Market Street Cooked Mussel Meat,Morrisons Market Street Cooked Mussel Meat400g,£4.25,£1.06 per 100g,Buy 3 for £10
Morrisons Market Street Cooked Seafood Selection ,Morrisons Market Street Cooked Seafood Selection 250g,£4.25,£17.00 per kg,Buy 3 for £10
Morrisons Market Street Cooked Shell On Cold Water Prawns,Morrisons Market Street Cooked Sh…400g,£4.25,£1.06 per 100g,Buy 3 for £10
Morrisons Market Street Peppered Hot Smoked Mackerel Fillets,Morrisons Market Street Peppered Ho…Typically: 250g,£2.20,£11.00 per kg,
Morrisons Market Street Raw Easy Peel Shell On Argentinian Red Shrimp,Morrisons Market Street Raw Easy Peel She…180g,£4.25,£23.61 per kg,Buy 3 for £10
Morrisons Market Street Raw Peeled King Prawns,Morrisons Market Street Raw Peeled King Prawns200g,£4.25,£21.25 per kg,Buy 3 for £10
