name,Price Per Unit,Price Per Measure,Promotion
Kenco 8 Cappuccino Sachets,Kenco 8 Cap…118.4g,£1.75,£1.48 per 100g,
Franks Redhot Buffalo Wings Sauce,Franks Redhot Buf…148ml,£1.79,£1.21 per 100ml,
Doritos Loaded Pepperoni Pizza Tortilla Chips,Doritos Loaded Pe…180g,£1.75,97.2p per 100g,"Offer price £1.75, was £2.25"
Pure Via 100% Xylitol ,Pure Via 100% Xylitol 225g,£3.00,£1.33 per 100g,
Betty Crocker Vanilla Buttercream Style Icing,Betty Crocker Van…400g,£2.99,74.8p per 100g,Buy 2 for £5
Canderel On The Go 0 Calorie Liquid Drops,Canderel On The…55ml,£1.80,£3.27 per 100ml,
Pure Via 100% Erythritol Nature Sweet,Pure Via 100% Eryth…250g,£3.35,13.4p per 10g,
Dolmio Pasta Bake Creamy Tomato Pasta Sauce,Dolmio Pasta Ba…500g,£2.19,43.8p per 100g,Buy 2 for £3
Extra Refreshers Bubblemint Sugar Free Chewing Gum Bottle 30 Pieces,Extra Refresh…67g,£2.85,£4.25 per 100g,
Jacobs Mini Cheddars Nibblies Double Gloucester & Chive Flavour,Jacobs Mini Cheddar…115g,£1.25,£1.09 per 100g,"Offer price £1.25, was £2"
Dolmio Lasagne Red Tomato Sauce,Dolmio Lasagne…500g,£2.19,43.8p per 100g,Buy 2 for £3
Popworks Sweet Chipotle Chilli,Popworks Sweet…85g,£1.25,£1.47 per 100g,"Offer price £1.25, was £2"
Dolmio Bolognese Smooth Tomato Pasta Sauce,Dolmio Bolo…500g,£2.19,43.8p per 100g,Buy 2 for £3
Ben's Original Egg Fried Microwave Rice,Ben's Origina…250g,£1.39,55.6p per 100g,Buy 2 for £2.50
Marmite Yeast Extract,Marmite Yeast Extract250g,£3.35,£1.34 per 100g,
Jacob's Biscuits for Cheese Crackers Carton,Jacob's Biscuit…300g,£3.25,£1.08 per 100g,
Popworks Sweet & Salt Pop Crisps,Popworks Sweet…85g,£1.25,£1.47 per 100g,"Offer price £1.25, was £2"
Extra Peppermint Chewing Gum Sugar Free Multipack,Extra Pepperm…6 x 10 per pack,£3.00,5p each,
Old El Paso Crunchy Taco Shells x12,Old El Paso Crunc…156g,£1.89,£1.21 per 100g,Buy 2 for £3
Warburtons Plain Bagels,Warburtons Plain Bagels5 per pack,£1.85,37p each,
New York Bakery Co. Original Bagel Thins,New York Bakery…4 per pack,£1.29,32.3p each,
The Clay Oven Bakery Garlic & Coriander Naan Breads,The Clay Oven Baker…300g,£1.25,41.7p per 100g,
Schwartz Sausage Casserole Mix,Schwartz Sausage Casserole Mix35g,£1.09,31.1p per 10g,Buy 4 for £2.50
Pure Via Stevia Value Pack,Pure Via Stevia Value Pack370g,£5.29,£1.43 per 100g,
Old El Paso Stand N Stuff Tortilla Wrap Boats,Old El Paso Stand N Stuff…198g,£2.35,£1.19 per 100g,Buy 2 for £3
Silverspoon Halfspoon Sugar,Silverspoon Halfspoon Sugar500g,£1.85,£3.70 per kg,
Betty Crocker Chocolate Fudge Icing,Betty Crocker Cho…400g,£2.99,74.8p per 100g,Buy 2 for £5
Dolmio Bolognese Onion & Garlic Pasta Sauce,Dolmio Bolognese Onion…500g,£2.19,43.8p per 100g,Buy 2 for £3
Canderel Sugarly Value Pack,Canderel Sugarly Value Pack370g,£4.29,£1.16 per 100g,
Doritos Flame Grilled Whopper,Doritos Flame Grilled Whopper180g,£1.75,97.2p per 100g,"Offer price £1.75, was £2.25"
Doritos Triple Cheese Pizza Tortilla Chips,Doritos Triple Cheese Pizza Tortilla Chips180g,£1.75,97.2p per 100g,"Offer price £1.75, was £2.25"
Extra Peppermint Chewing Gum Sugar Free Bottle 60 Pieces,Extra Peppermint Chewing Gum Su…84g,£2.85,£3.39 per 100g,
Extra Spearmint Chewing Gum Sugar Free Bottle 60 Pieces,Extra Spearmint Chewing Gum Sug…60 per pack,£2.85,4.8p each,
Walkers Baked Crisps Variety Pack,Walkers Baked Crisps Variety Pack6 x 22g,£1.75,£1.33 per 100g,Buy 2 for £3
Aero Bubbles Milk Chocolate Medium Easter Egg,Aero Bubbles Milk Chocola…121g,£1.50,£1.24 per 100g,Save 50p Off Your Next Shop
Aero Bubbles Peppermint Mint Chocolate Sharing Pouch,Aero Bubbles Peppermint Mint…92g,£1.35,£1.47 per 100g,
Aero Bubbly Caramel Chocolate Bar Multipack,Aero Bubbly Caramel Chocolate Bar Multipack4 x 27g,£1.50,£1.39 per 100g,
Aero Dark&Milk Peppermint Chocolate Sharing Bar,Aero Dark&Milk Peppermint…90g,£1.25,£1.39 per 100g,
Aero Giant Milk,Aero Giant Milk90g,£1.25,£1.39 per 100g,
Aero Golden Honeycomb Chocolate Sharing Bar ,Aero Golden Honeycomb Chocolate Sharing Bar 90g,£1.25,£1.39 per 100g,
Aero Melts Caramel Chocolate Sharing Bag,Aero Melts Caramel Chocolate Sharing Bag86g,£1.35,£1.57 per 100g,
Aero Melts Golden Honeycomb Chocolate Sharing Bag,Aero Melts Golden Honeycomb…86g,£1.35,£1.57 per 100g,
Aero Melts Milk Chocolate Sharing Bag ,Aero Melts Milk Chocolate Sharing Bag 92g,£1.35,£1.47 per 100g,
Aero Milk Chocolate Multipack 4 Pack,Aero Milk Chocolate Multipack 4 Pack4 x 27g,£1.50,£1.39 per 100g,
Aero Peppermint,Aero Peppermint90g,£1.25,£1.39 per 100g,
Aero Peppermint Mint Chocolate Giant Easter Egg,Aero Peppermint Mint Choc…230g,£5,£2.17 per 100g,
Aero Peppermint Mint Chocolate Multipack 4 Pack,Aero Peppermint Mint Choc…4 x 27g,£1.50,£1.39 per 100g,
After Eight Dark Mint Chocolate Bitesize Sharing Pouch,After Eight Dark Mint Chocolate…107g,£1.35,£1.27 per 100g,"Offer price £1.35, was £1.60"
After Eight Dark Mint Chocolate Box ,After Eight Dark Mint Chocolate Box 300g,£3,£1.00 per 100g,
After Eight Dark Mint Chocolate Premium Easter Egg,After Eight Dark Mint Choco…400g,£8,£2.00 per 100g,
After Eight Mini Eggs ,After Eight Mini Eggs 81g,£1.25,£1.54 per 100g,
After Eight Mint Collection Box,After Eight Mint Collection Box199g,£5,£2.51 per 100g,
Ainsley Harriot Chilli Cous Cous,Ainsley Harriot Chilli Cous Cous100g,89p,£8.90 per kg,
Ainsley Harriot Morrocan Cous Cous,Ainsley Harriot Morrocan Cous Cous100g,89p,89p per 100g,
Ainsley Harriot Roast Vegetable Cous Cous,Ainsley Harriot Roast Vegetable Cous Cous100g,89p,89p per 100g,
Ainsley Harriot Spice Sensations Cous Cous,Ainsley Harriot Spice Sensations Cous Cous100g,89p,£8.90 per kg,
Ainsley Harriott Caribbean Cup Soup,Ainsley Harriott Caribbean Cup Soup69g,£1.25,£1.81 per 100g,
Ainsley Harriot Tomato Cous Cous,Ainsley Harriot Tomato Cous Cous100g,89p,£8.90 per kg,
Ainsley Harriot Wild Mushroom Cous Cous,Ainsley Harriot Wild Mushroom Cous Cous100g,89p,£8.90 per kg,
Airwaves Menthol & Eucalyptus Chewing Gum Sugar Free Multipack,Airwaves Menthol & Eucalyptus Chewi…6 x 10 per pack,£3,5p each,
Airwaves Menthol & Eucalyptus Sugar Free Chewing Gum Bottle,Airwaves Menthol & Eucalyptus Sug…46 per pack,£2.25,4.9p each,
Aleyna Sliced Green Jalapeno Peppers (480g),Aleyna Sliced Green Jalapeno Peppers (480g)240g,£1.15,47.9p per 100g,
Aleyna Sliced Red Jalapeno Peppers (480g),Aleyna Sliced Red Jalapeno Peppers (480g)240g,£1.15,47.9p per 100g,
Alfa One 100% Pure Rice Bran Oil,Alfa One 100% Pure Rice Bran Oil500ml,£2.99,59.8p per 100ml,
Al'Fez Natural Tahini ,Al'Fez Natural Tahini 160g,£2.49,£1.56 per 100g,
Allinson Plain Wholemeal Flour ,Allinson Plain Wholemeal Flour 1kg,£2.29,£2.29 per kg,
Allinson's Dried Active Yeast Tin,Allinson's Dried Active Yeast Tin125g,£1.20,96p per 100g,
Allinson's Easy Bake Yeast Tin,Allinson's Easy Bake Yeast Tin100g,£1.49,£1.49 per 100g,
Allinson's Self-Raising Wholemeal Flour,Allinson's Self-Raising Wholemeal Flour1kg,£2.29,£2.29 per kg,
Allinson's Strong White Bread Flour,Allinson's Strong White Bread Flour1.5kg,£2.69,£1.79 per kg,
Allinson's Strong White Bread Flour,Allinson's Strong White Bread Flour1kg,£1.69,16.9p per 100g,
Allinson Strong White Flour,Allinson Strong White Flour3kg,£3.79,£1.26 per kg,
Allinson's Very Strong White Bread Flour,Allinson's Very Strong White Bread Flour1kg,£1.79,17.9p per 100g,
Allinson's Very Strong Wholemeal Bread Flour,Allinson's Very Strong Wholemeal Bread Flour1kg,£1.89,18.9p per 100g,
Allinson's White Very Strong Bread Flour,Allinson's White Very Strong Bread Flour1.5kg,£2.69,£1.79 per kg,
Allinson's Yeast Time Saver,Allinson's Yeast Time Saver2 x 11g,55p,£2.50 per 100g,
Alpen Cereal Bars Strawberry & Yoghurt,Alpen Cereal Bars Strawberry & Yoghurt5 x 29g,£1,69p per 100g,"Offer price £1, was £2"
Alpen Light Cereal Bars Chocolate & Fudge ,Alpen Light Cereal Bars Chocolate & Fudge 5 x 19g,£1,£1.06 per 100g,"Offer price £1, was £2"
Alpen Light Cereal Bars Jaffa Cake,Alpen Light Cereal Bars Jaffa Cake5 x 19g,£1,£1.06 per 100g,"Offer price £1, was £2"
Alpen Light White Chocolate Raspberry & Shortcake Cereal Bars,Alpen Light White Chocolate Raspber…5 x 19g,£1,£1.06 per 100g,"Offer price £1, was £2"
Alpen Muesli Chocolate,Alpen Muesli Chocolate550g,£2.70,49.1p per 100g,
Alpen Muesli No Added Sugar,Alpen Muesli No Added Sugar1.1kg,£4.39,39.9p per 100g,
Alpen Muesli No Added Sugar,Alpen Muesli No Added Sugar550g,£2.70,49.1p per 100g,
Alpen Muesli Original,Alpen Muesli Original1.1kg,£4.39,39.9p per 100g,
Alpen Muesli Original,Alpen Muesli Original550g,£2.70,49.1p per 100g,
Alpen Muesli Simply Berries,Alpen Muesli Simply Berries550g,£2.70,49.1p per 100g,
Alpro Vanilla Custard,Alpro Vanilla Custard525g,£1.40,26.7p per 100g,
Ambrosia Caramel & Vanilla Dessert Pots,Ambrosia Caramel & Vanilla Dessert Pots110g,£2.69,£2.45 per 100g,
Ambrosia Chocolate & Fudge Dessert Pots,Ambrosia Chocolate & Fudge Dessert Pots110g,£2.50,£2.27 per 100g,
Ambrosia Chocolate Flavour Devon Custard Pot,Ambrosia Chocolate Flav…150g,95p,63.3p per 100g,Buy 2 for £1.50
Ambrosia Chocolate Orange Custard ,Ambrosia Chocolate Orange Custard 400g,£1.99,49.8p per 100g,Buy 2 for £2.50
Ambrosia Chocolate Rice Pudding Can,Ambrosia Chocolate Rice Pudding Can400g,£1.99,49.8p per 100g,Buy 2 for £2.50
Ambrosia Creamed Macaroni,Ambrosia Creamed Macaroni400g,£2.19,54.8p per 100g,
Ambrosia Deluxe Belgian Chocolate Custard Twinpots ,Ambrosia Deluxe Belgian Choco…120g,£1,83.3p per 100g,
Ambrosia Deluxe Madagascan Vanilla Custard Twinpots ,Ambrosia Deluxe Madagascan Va…120g,£1,83.3p per 100g,
Ambrosia Deluxe West Country Cream Custard Can,Ambrosia Deluxe West Coun…400g,£1.50,37.5p per 100g,
Ambrosia Devon Custard,Ambrosia Devon Custard4 x 125g,£2.99,59.8p per 100g,
Ambrosia Devon Custard,Ambrosia Devon Custard150g,95p,63.3p per 100g,Buy 2 for £1.50
Ambrosia Devon Custard,Ambrosia Devon Custard400g,£1.69,42.3p per 100g,
Ambrosia Devon Custard,Ambrosia Devon Custard6 x 120g,£3.49,48.5p per 100g,
Ambrosia Devon Custard,Ambrosia Devon Custard1kg,£2,20p per 100g,"Offer price £2, was £2.99"
Ambrosia Devon Custard,Ambrosia Devon Custard500g,£1.65,33p per 100g,
Ambrosia Devon Custard Can,Ambrosia Devon Custard Can400g,£1.99,49.8p per 100g,Buy 2 for £2.50
Ambrosia Devon Rice Pudding,Ambrosia Devon Rice Pudding400g,£1.99,49.8p per 100g,Buy 2 for £2.50
Ambrosia Light Devon Custard,Ambrosia Light Devon Custard4 x 125g,£2.99,59.8p per 100g,
Ambrosia Light Devon Custard,Ambrosia Light Devon Custard1kg,£2,20p per 100g,"Offer price £2, was £2.99"
Ambrosia Light Devon Custard,Ambrosia Light Devon Custard500g,£1.65,33p per 100g,
Ambrosia Light Devon Custard Can,Ambrosia Light Devon Custard Can400g,£1.99,49.8p per 100g,Buy 2 for £2.50
Ambrosia Light Rice Pudding,Ambrosia Light Rice Pudding400g,£1.99,49.8p per 100g,Buy 2 for £2.50
Ambrosia Mousse Pots Milk Chocolate ,Ambrosia Mousse Pots Milk Chocolate 4 x 60g,£2.50,£1.04 per 100g,
Ambrosia My Mini Custard Pot,Ambrosia My Mini Custard Pot330g,£2.35,71.2p per 100g,
