name,Price Per Unit,Price Per Measure,Promotion
Morrisons The Best Thick Pork & Caramelised Onion Sausages,Morrisons The Bes…400g,£3.25,£8.13 per kg,Buy 2 for £5
Morrisons The Best Dry Cured 8 Smoked Back Bacon,Morrisons The Best…200g,£3.25,£16.25 per kg,Buy 2 for £5
The Real Yorkshire Pudding Co. 4 Gluten Free Yorkshire Puddings,The Real Yorksh…160g,£1.99,£1.25 per 100g,"Offer price £1.99, was £2.25"
Alpro Vanilla Yoghurt Alternative ,Alpro Vanilla Yoghurt Alternative 500g,£1.95,39p per 100g,
Betty Crocker Gluten Free Chocolate Fudge Brownie Mix,Betty Crocker Gluten Free Cho…415g,£3.09,74.5p per 100g,
Old El Paso Gluten Free Tortilla Wraps,Old El Paso Gluten Free Tortilla Wraps216g,£3,£1.39 per 100g,
Alpro Almond Chilled Drink,Alpro Almond Chilled Drink1L,£2.10,£2.10 per litre,
Alpro Almond No Sugars Chilled Drink,Alpro Almond No Sugars Chilled Drink1L,£2.10,£2.10 per litre,
Alpro Barista Coconut Milk,Alpro Barista Coconut Milk1L,£2.30,£2.30 per litre,
Alpro Barista Oat Chilled Drink,Alpro Barista Oat Chilled Drink750ml,£1.50,£2.00 per litre,"Offer price £1.50, was £2"
Alpro Blueberry & Cherry Yoghurt Alternative ,Alpro Blueberry & Cherry Yoghurt Alternative 4 x 125g,£1.79,35.8p per 100g,"Offer price £1.79, was £2"
Alpro Chocolate-Hazelnut Dessert ,Alpro Chocolate-Hazelnut Dessert 2 x 113g,£1.75,77.4p per 100g,
Alpro Coconut Almond Chilled Drink,Alpro Coconut Almond Chilled Drink1L,£2.10,£2.10 per litre,
Alpro Coconut Chilled Drink,Alpro Coconut Chilled Drink1L,£2.10,£2.10 per litre,
Alpro Coconut No Sugars Chilled Drink,Alpro Coconut No Sugars Chilled Drink1L,£2.10,£2.10 per litre,
Alpro Dark Chocolate Dessert,Alpro Dark Chocolate Dessert4 x 125g,£2,40p per 100g,
Alpro Double Chocolate Almond Mousse & Ganache ,Alpro Double Chocolate Al…2 x 70g,£2.20,£1.57 per 100g,
Alpro Go On Mango Yogurt,Alpro Go On Mango Yogurt150g,85p,56.7p per 100g,
Alpro Greek Style Plain Yoghurt Alternative ,Alpro Greek Style Plain Yoghurt Alternative 400g,£1.95,48.8p per 100g,
Alpro Greek Style Strawberry Yoghurt Alternative,Alpro Greek Style Strawberr…150g,£1.20,80p per 100g,
Alpro Hazelnut Chilled Drink,Alpro Hazelnut Chilled Drink1L,£2.10,£2.10 per litre,
Alpro Hazelnut Long Life Drink,Alpro Hazelnut Long Life Drink1L,£1.50,£1.50 per litre,"Offer price £1.50, was £2.05"
Alpro More Fruit No Added Sugars Mango Yoghurt Alternative ,Alpro More Fruit No Added Sugars…400g,£1.85,46.3p per 100g,
Alpro Oat Chilled Drink,Alpro Oat Chilled Drink1L,£1.95,£1.95 per litre,
Alpro Peach And Exotic Fruit Yoghurt Alternative,Alpro Peach And Exotic Fruit Yoghurt Alternative4 x 125g,£1.79,3.6p per 10g,"Offer price £1.79, was £2"
Alpro Plain No Sugars Yoghurt Alternative ,Alpro Plain No Sugars Yoghurt Alternative 500g,£1.95,39p per 100g,
Alpro Plain with Coconut Yoghurt Alternative ,Alpro Plain with Coconut Yoghurt Alternative 500g,£1.95,39p per 100g,
Alpro Plain Yoghurt Alternative ,Alpro Plain Yoghurt Alternative 500g,£1.95,39p per 100g,
Alpro Soya Chilled Alternative to Single Cream,Alpro Soya Chilled Altern…250ml,£1.40,56p per 100ml,
Alpro Soya Chilled Drink,Alpro Soya Chilled Drink1L,£1.95,£1.95 per litre,
Alpro Soya Chocolate Chilled Drink,Alpro Soya Chocolate Chilled Drink1L,£2.05,£2.05 per litre,
Alpro Soya Light Chilled Drink,Alpro Soya Light Chilled Drink1L,£1.95,£1.95 per litre,
Alpro Soya Light Long Life Drink,Alpro Soya Light Long Life Drink1L,£1.89,£1.89 per litre,
Alpro Soya No Sugars Chilled Drink,Alpro Soya No Sugars Chilled Drink1L,£1.95,£1.95 per litre,
Alpro Strawberry-Banana & Peach-Pear Yoghurt Alternative ,Alpro Strawberry-Banana & Peach-P…4 x 125g,£1.79,35.8p per 100g,"Offer price £1.79, was £2"
Alpro Strawberry Yoghurt Alternative ,Alpro Strawberry Yoghurt Alternative 500g,£1.95,39p per 100g,
Alpro Vanilla Custard,Alpro Vanilla Custard525g,£1.40,26.7p per 100g,
Alpro Vanilla Yoghurt Alternative ,Alpro Vanilla Yoghurt Alternative 500g,£1.95,39p per 100g,
Alpro Velvet Vanilla Dessert,Alpro Velvet Vanilla Dessert4 x 125g,£2,40p per 100g,
Applewood Creamy & Smoky Vegan Minis Snacking,Applewood Creamy & Smoky…75g,£2,£2.67 per 100g,
Applewood Vegan Block,Applewood Vegan Block200g,£2.50,£1.25 per 100g,
Applewood Vegan Slices,Applewood Vegan Slices200g,£2.80,£1.40 per 100g,
Arla Lactofree Cream,Arla Lactofree Cream250ml,£1.99,79.6p per 100ml,
Arla Lactofree Mature Cheddar Grated Cheese,Arla Lactofree Mature Cheddar Grated Cheese200g,£2.50,£1.25 per 100g,
Arla Lacto Free Semi Skimmed Milk,Arla Lacto Free Semi Skimmed Milk2L,£3.20,£1.60 per litre,
Baked Moroccan Falafel ,Baked Moroccan Falafel 200g,£2,£1.00 per 100g,
