name,Price Per Unit,Price Per Measure,Promotion
Actimel Strawberry & Blueberry Yogurt Drinks,Actimel Strawberr…12 x 100g,£3.25,27.1p per 100g,
Petits Filous Dairy Free Raspberry,Petits Filous Dai…4 x 95g,£2.25,59.2p per 100g,"Offer price £2.25, was £2.49"
Alpro Almond No Sugars Chilled Drink,Alpro Almond No Sug…1L,£2.10,£2.10 per litre,
Petits Filous Big Pots Strawberry & Raspberry Fromage Frais,Petits Filous Big…4 x 85g,£1.25,36.7p per 100g,"Offer price £1.25, was £1.49"
Alpro Oat No Sugars Long Life Drink,Alpro Oat No Suga…1L,£2.15,£2.15 per litre,
Alpro Oat No Sugars Chilled Drink,Alpro Oat No Suga…1L,£1.95,£1.95 per litre,
Petits Filous Big Pots Strawberry & Apricot Fromage Frais ,Petits Filous Big…4 x 85g,£1.25,36.7p per 100g,"Offer price £1.25, was £1.49"
Alpro Soya Long Life Drink,Alpro Soya Long Life Drink1L,£2.00,£2.00 per litre,
The Vegetarian Butcher Vegan Magic Mince,The Vegetarian Butche…200g,£3.00,£1.50 per 100g,
The Vegetarian Butcher Patty On The Back,The Vegetarian Butche…226g,£3.99,£1.77 per 100g,
Petits Filous No Added Sugar Strawberry & Banana Fromage Frais ,Petits Filous No Ad…6 x 47g,£1.95,69.1p per 100g,
Richmond 12 Thick Pork Sausages,Richmond 12 Thi…615g,£2.25,£3.66 per kg,"Offer price £2.25, was £3.25"
Morrisons British Whole Chicken ,Morrisons Briti…1.4kg,£4.25,£3.04 per kg,Buy 3 for £10
Morrisons Chicken Breast Fillets ,Morrisons Chicken…300g,£2.25,£7.50 per kg,
Actimel Multifruit Yogurt Drinks,Actimel Multifruit Yogurt Drinks12 x 100g,£3.25,27.1p per 100g,
Activia Rhubarb Yogurt,Activia Rhubarb Yogurt4 x 115g,£2.49,54.1p per 100g,
Activia Strawberry Red Fruit 0% Yogurt,Activia Strawberry Red Fruit 0% Yogurt8 x 115g,£3.99,43.4p per 100g,
Activia Strawberry Yellow Fruit Yogurt,Activia Strawberry Yellow Fruit Yogurt8 x 115g,£4,43.5p per 100g,
Fridge Raiders Slow Roasted Chicken Snack Bites,Fridge Raiders Slow Roast…6 x 22.5g,£2.25,£1.67 per 100g,"Offer price £2.25, was £2.79"
Frubes 9 X Strawberry Flavour,Frubes 9 X Strawberry Flavour9 x 37g,£1.50,45p per 100g,"Offer price £1.50, was £2.50"
Abra Ca Debora Buttermilk Pancakes,Abra Ca Debora Buttermilk Pancakes6 per pack,£2.40,40p each,
Actimel 0% Fat Original Yogurt Drinks,Actimel 0% Fat Original Yogurt Drinks8 x 100g,£3.49,43.6p per 100g,
Actimel 0% Fat Original Yogurt Drinks,Actimel 0% Fat Original Yogurt Drinks12 x 100g,£3.25,27.1p per 100g,
