name,Price Per Unit,Price Per Measure,Promotion
Morrisons Chicken Mini Fillet,Morrisons Chi…450g,£4.25,94.4p per 100g,Buy 3 for £10
Morrisons Spreadable,Morrisons Spreadable450g,£2.49,55.3p per 100g,
Morrisons Soured Cream & Chive Dip,Morrisons Soured…170g,£1.35,79.4p per 100g,Buy 2 for £2
Birds Eye 2 Green Cuisine Vegan Chicken Free Southern Fried Grills,Birds Eye 2 Green Cuisine Vegan Chicken…2 per pack,£2.69,£1.35 each,
Birds Eye Green Cuisine Vegan Chicken Free Southern Fried Strips,Birds Eye Green Cuisine Vegan Chicken…210g,£2.99,£14.24 per kg,
Birds Eye Petits Pois ,Birds Eye Petits Pois 960g,£3,£3.13 per kg,"Offer price £3, was £3.59"
Goodfella's Takeaway Pepperoni Pizza,Goodfella's Takeaway Pepperoni Pizza524g,£3.50,66.8p per 100g,"Offer price £3.50, was £4.99"
	Weight Watchers from Heinz Beef Hotpot Frozen Ready Meal,	Weight Watchers from Heinz Beef…350g,£2.49,£7.11 per kg,Buy 2 for £4.50
"Annabel Karmel Chicken,Tomato & Mascarpone Pasta ","Annabel Karmel Chicken,Toma…200g",£1.79,89.5p per 100g,"Offer price £1.79, was £2"
Annabel Karmel Scrummy Cottage Pie with Hidden Veggies ,Annabel Karmel Scrummy Cottage…200g,£1.79,£8.95 per kg,"Offer price £1.79, was £2"
Annabel Karmel Tasty Spaghetti Bolognese with Hidden Veggies ,Annabel Karmel Tasty Spaghetti Bolo…200g,£1.79,£8.95 per kg,"Offer price £1.79, was £2"
Aunt Bessie's 10 Glorious Golden Yorkshire Puddings,Aunt Bessie's 10 Glorious Golden Yorkshire Puddings190g,£1.50,£7.89 per kg,
Aunt Bessie's 12 Bake at Home Yorkshire Puddings,Aunt Bessie's 12 Bake at Home Yorkshire Puddings370g,£2.39,£6.46 per kg,
Aunt Bessie's 12 Sage & Onion Stuffing Balls ,Aunt Bessie's 12 Sage & Onion Stuffing Balls 310g,£1.50,£4.84 per kg,"Offer price £1.50, was £2.45"
Aunt Bessie's 18 Glorious Golden Yorkshire Puddings,Aunt Bessie's 18 Glorious Golden Yorkshire Puddings342g,£4,£11.70 per kg,"Buy 3, Get 25% Off"
Aunt Bessie's 4 Spectacular Yorkshire Puddings,Aunt Bessie's 4 Spectacul…220g,£2,£9.09 per kg,
Aunt Bessie's 8 Dumplings,Aunt Bessie's 8 Dumplings390g,£2.45,£6.28 per kg,
Aunt Bessie's Crinkle Cut Chips,Aunt Bessie's Crinkle Cut Chips800g,£1.50,18.7p per 100g,"Offer price £1.50, was £1.85"
Aunt Bessie's Duck Fat Roast Potatoes,Aunt Bessie's Duck Fat Roast Potatoes700g,£3,£4.29 per kg,"Offer price £3, was £3.99"
Aunt Bessie's Honey Glazed Parsnips,Aunt Bessie's Honey Glazed Parsnips500g,£2,£4.00 per kg,"Offer price £2, was £2.49"
Aunt Bessie's Jam Roly Poly,Aunt Bessie's Jam Roly Poly300g,£2.19,73p per 100g,"Offer price £2.19, was £2.29"
Aunt Bessie's Mashed Potato,Aunt Bessie's Mashed Potato650g,£2.49,£3.83 per kg,
Aunt Bessie's Mini Roast Potatoes,Aunt Bessie's Mini Roast Potatoes700g,£2.79,39.9p per 100g,
Aunt Bessie's Onion Rings ,Aunt Bessie's Onion Rings 375g,£2.35,62.7p per 100g,
Aunt Bessie's Proper Apple Pie ,Aunt Bessie's Proper Apple Pie 550g,£2.19,39.8p per 100g,"Offer price £2.19, was £2.29"
Aunt Bessie's Roast Potatoes,Aunt Bessie's Roast Potatoes1.3kg,£3.89,£2.99 per kg,
Aunt Bessie's Roast Potatoes,Aunt Bessie's Roast Potatoes720g,£2.49,£3.46 per kg,
Aunt Bessie's Toad In The Hole,Aunt Bessie's Toad In The Hole190g,£1.99,£10.47 per kg,
Baileys Original Ice Cream Sticks ,Baileys Original Ice Cream Sticks 3 x 90ml,£3.75,£1.39 per 100ml,
Ballineen Cooked Irish Sausages In A Crispy Batter,Ballineen Cooked Irish Saus…240g,£1.75,£7.29 per kg,
Bannisters Farm 4 Cheese & Bacon Potato Skins,Bannisters Farm 4 Cheese & Bacon Potato Skins260g,£1.65,£6.35 per kg,
Bannisters Farm 4 Cheese & Jalapeno Potato Skins,Bannisters Farm 4 Cheese & Jalapeno Potato Skins260g,£1.65,£6.35 per kg,
Bannisters Farm 4 Hasselback Baked Potatoes ,Bannisters Farm 4 Hasse…460g,£2.49,54.1p per 100g,
