name,Price Per Unit,Price Per Measure,Promotion
Morrisons Tomato Puree,Morrisons Tomato Puree200g,59p,£2.95 per kg,"Offer price 59p, was 79p"
Morrisons British Whole Chicken ,Morrisons Briti…1.4kg,£4.25,£3.04 per kg,Buy 3 for £10
Morrisons Chicken Breast Fillet ,Morrisons Chick…630g,£4.99,£7.92 per kg,
Morrisons Pears ,Morrisons Pears 1.2kg,£1.99,£1.66 per kg,
Morrisons Raspberries,Morrisons Raspberries250g,£2.99,£1.20 per 100g,
Savers Cherry Tomatoes,Savers Cherry Tomatoes250g,65p,26p per 100g,
Albert Bartlett Rooster Potatoes ,Albert Bartlett Rooster Potatoes 2kg,£2.25,£1.13 per kg,
Bistro Salad,Bistro Salad160g,£1.19,74.4p per 100g,
Carrot & Broccoli Florets,Carrot & Broccoli Florets320g,£1.49,46.6p per 100g,
Del Monte Cantaloupe Melon,Del Monte Cantaloupe Melon300g,£2.49,83p per 100g,
Del Monte Melon & Grape ,Del Monte Melon & Grape 320g,£2.49,77.8p per 100g,
Fyffes Pineapple,Fyffes Pineapple,99p,,
Genuine Coconut Organic Drinking Coconut,Genuine Coconut Organic Drinking Coconut,£1.99,,
Good 4 U Lentil & Sprout Mix,Good 4 U Lentil & Sprout Mix180g,£1.20,66.7p per 100g,
Good 4 U Super Sprouts,Good 4 U Super Sprouts60g,£1.20,£2.00 per 100g,
Linwoods Cold Flaxseed ,Linwoods Cold Flaxseed 200g,£2.50,£1.25 per 100g,
Linwoods Flaxseed & Chai Seeds,Linwoods Flaxseed & Chai Seeds200g,£3,£1.50 per 100g,
Love Me Tender Fruit Platter,Love Me Tender Fruit Platter350g,£2.99,85.4p per 100g,
Love Me Tender Mango And Watermelon,Love Me Tender Mango And Watermelon230g,£2.25,97.8p per 100g,
Love Me Tender Mango Fingers,Love Me Tender Mango Fingers410g,£3.25,79.3p per 100g,
Love Me Tender Melon Pineapple And Mango,Love Me Tender Melon Pineapple And Mango240g,£2.25,93.8p per 100g,
"Love Me Tender Pineapple, Apple & Grape","Love Me Tender Pineapple, Apple & Grape280g",£2.25,80.4p per 100g,
Morrisons 2 Sweetcorn Cobs             ,Morrisons 2 Sweetcorn Cobs             2 per pack,£1.39,69.5p each,Buy 2 for £2.50
Morrisons Almonds,Morrisons Almonds200g,£2.49,£1.25 per 100g,Buy 2 for £4
Morrisons Almonds          ,Morrisons Almonds          60g,99p,£1.65 per 100g,Buy 2 for £1.50
Morrisons Asparagus Bundle,Morrisons Asparagus Bundle,£2.99,,
Morrisons Baby Corn ,Morrisons Baby Corn 125g,£1.39,£11.12 per kg,Buy 2 for £2.50
Morrisons Baby Leaf Salad,Morrisons Baby Leaf Salad90g,85p,94.4p per 100g,
Morrisons Baby Leaf Salad,Morrisons Baby Leaf Salad60g,89p,£1.48 per 100g,Buy 2 for £1
Morrisons Baby Pearl Potatoes ,Morrisons Baby Pearl Potatoes 500g,99p,£1.98 per kg,"Offer price 99p, was £1.15"
Morrisons Baby Plum Tomatoes ,Morrisons Baby Plum Tomatoes 250g,89p,35.6p per 100g,
Morrisons Baby Portobello Mushrooms ,Morrisons Baby Portobello Mushrooms 200g,£1.19,£5.95 per kg,
Morrisons Baby Potatoes ,Morrisons Baby Potatoes 1kg,£1.19,£1.19 per kg,
Morrisons Baby Spinach ,Morrisons Baby Spinach 160g,99p,61.9p per 100g,
Morrisons Baking Potatoes ,Morrisons Baking Potatoes 4 per pack,62p,15.5p each,"Offer price 62p, was 69p"
Morrisons Baking Potatoes,Morrisons Baking Potatoes2.5kg,£1.59,63.6p per kg,"Offer price £1.59, was £1.99"
Morrisons Balsamic Dressing ,Morrisons Balsamic Dressing 175ml,£1.39,79.4p per 100ml,
Morrisons Beansprouts,Morrisons Beansprouts300g,99p,33p per 100g,
Morrisons Beautifully Wonky Courgette,Morrisons Beautifully Wonky Courgette,£2.25,,
"Morrisons Beetroot, Baby Spinach & Baby Kale Salad","Morrisons Beetroot, Baby Sp…100g",99p,99p per 100g,
Morrisons  Berry Medley ,Morrisons  Berry Medley 220g,£2.25,£10.23 per kg,
Morrisons Berry Selection,Morrisons Berry Selection300g,£3.15,£10.50 per kg,
Morrisons  Bistro Salad,Morrisons  Bistro Salad160g,99p,61.9p per 100g,"Offer price 99p, was £1.19"
Morrisons Bistro Salad With French Dressing ,Morrisons Bistro Salad With French Dressing 165g,£1.49,90.3p per 100g,
Morrisons Blackbean Stir Fry Sauce,Morrisons Blackbean Stir Fry Sauce170g,£1.09,64.1p per 100g,Buy 3 for £2.50
Morrisons Blackberries,Morrisons Blackberries150g,£2.29,£15.27 per kg,
Morrisons Bloom Bouquet,Morrisons Bloom Bouquet,£9.99,,
Morrisons Blueberries ,Morrisons Blueberries 300g,£3.19,£1.06 per 100g,
Morrisons Blueberries ,Morrisons Blueberries 150g,£2.15,£14.33 per kg,Buy 3 for the Price of 2
Morrisons  Blueberries ,Morrisons  Blueberries 450g,£3.99,£8.87 per kg,
Morrisons Braeburn Apples,Morrisons Braeburn Apples6 per pack,£1.69,28.2p each,
Morrisons Bramley Apples (minimum 3),Morrisons Bramley Apples (minimum 3)3 per pack,£1.99,66.3p each,
Morrisons Brazil Nuts,Morrisons Brazil Nuts60g,99p,£1.65 per 100g,Buy 2 for £1.50
Morrisons Brazil Nuts ,Morrisons Brazil Nuts 175g,£2.49,£14.23 per kg,Buy 2 for £4
Morrisons British Apples,Morrisons British Apples6 per pack,£1.69,28.2p each,
Morrisons British Apples & Pears (Minimum 7),Morrisons British Apples & Pears (Minimum 7),£2.79,,
Morrisons British Strawberries,Morrisons British Strawberries227g,£2.29,£1.01 per 100g,
Morrisons Broccoli,Morrisons Broccoli350g,69p,£1.97 per kg,
Morrisons Broccoli & Cauliflower Florets ,Morrisons Broccoli & Cauliflower Florets 375g,£1.59,£4.24 per kg,
Morrisons Broccoli Florets,Morrisons Broccoli Florets160g,£1.29,80.6p per 100g,
Morrisons Brown Onions ,Morrisons Brown Onions 4 per pack,£1.29,32.3p each,
Morrisons Brown Onions ,Morrisons Brown Onions 1kg,99p,99p per kg,
Morrisons Brussel Sprouts ,Morrisons Brussel Sprouts 300g,£1.49,£4.97 per kg,
Morrisons Bunched Beetroot,Morrisons Bunched Beetroot,£1.79,,
Morrisons Bunched Coriander,Morrisons Bunched Coriander100g,£1.39,13.9p per 10g,
Morrisons Butterhead Salad,Morrisons Butterhead Salad80g,99p,£1.24 per 100g,
Morrisons Butternut Squash,Morrisons Butternut Squash,£1.35,,
Morrisons Button Mushrooms,Morrisons Button Mushrooms200g,£1.19,£5.95 per kg,
Morrisons Caesar Dressing ,Morrisons Caesar Dressing 175ml,£1.39,79.4p per 100ml,
Morrisons Caesar Salad,Morrisons Caesar Salad200g,£1.49,74.5p per 100g,
Morrisons Carrot & Broccoli Florets,Morrisons Carrot & Broccoli Florets375g,£1.49,39.7p per 100g,
Morrisons Carrot & Peas,Morrisons Carrot & Peas300g,£1.09,36.3p per 100g,
Morrisons Carrot & Swede Mash ,Morrisons Carrot & Swede Mash 400g,£1.39,£3.48 per kg,
"Morrisons Carrot, Broccoli & Brussels Sprouts","Morrisons Carrot, Broccoli & Brussels Sprouts300g",£1.49,49.7p per 100g,
"Morrisons Carrot, Broccoli & Cauliflower","Morrisons Carrot, Broccoli & Cauliflower250g",99p,£3.96 per kg,
Morrisons Carrot Batons ,Morrisons Carrot Batons 325g,89p,£2.74 per kg,
Morrisons Carrots ,Morrisons Carrots 500g,30p,60p per kg,"Offer price 30p, was 35p"
Morrisons Carrots ,Morrisons Carrots 1kg,19p,19p per kg,"Offer price 19p, was 50p"
