name,Price Per Unit,Price Per Measure,Promotion
Anadin Extra,Anadin Extra16 per pack,£1.80,11.3p each,"Offer price £1.80, was £2.19"
Canesten Thrush Combi Internal & External Cream,Canesten Thrush C…,£13.00,,
Centrum Immunity & Cell Protection Tablets,Centrum Immunit…60 per pack,£7.50,12.5p each,
"NiQuitin Clear Patch - Step 1 21mg, 14 Nicotine Patches - Stop Smoking Aid",NiQuitin Clear Patc…14 per pack,£20.00,£1.43 each,
Berocca Energy Food Supplement Orange Effervescent Tablets,Berocca Energ…15 per pack,£4.25,28.3p each,"Offer price £4.25, was £5"
Clarityn Allergy Tablets 10mg Loratadine Allergy and Hayfever Relief,Clarityn Allergy Tabl…30 per pack,£5.20,17.4p each,"Offer price £5.20, was £10.40"
Anadin Paracetamol      ,Anadin Paracetamol      16 per pack,£1.50,9.4p each,
Canescool Soothing Cream Gel,Canescool Soo…15g,£6.00,£40.00 per 100g,
Centrum Advance Tablets,Centrum A…30 per pack,£4.50,15p each,
"NiQuitin Clear Patch -Step 1 21mg, 7 Nicotine Patches - Stop Smoking Aid",NiQuitin Clear Patc…7 per pack,£14.00,£2.00 each,
Canestest Self-Test for Vaginal Infections,Canestest Self-Test for…,£7.50,,
Centrum Advance 50+ Multivitamins,Centrum Advance 5…30 per pack,£4.50,15p each,
Scholl Cracked Heel Cream,Scholl Cracked Heel Cream60ml,£5.00,£8.33 per 100ml,
CanesOasis Cystitis Relief 4g Granules for Oral Solution Cranberry Flavour,CanesOasis Cystitis…6 per pack,£5.65,94.2p each,
Rennie Sugar-Free Heartburn & Indigestion Chewable Tablets,Rennie Sugar-Free…24 per pack,£2.20,9.2p each,
Centrum Advance For Men,Centrum A…30 per pack,£6.50,21.7p each,
Anadin Joint Pain Tablets 200mg,Anadin Joint Pa…16 per pack,£2.20,13.8p each,
 Canesbalance Bacterial Vaginosis Vaginal Gel, Canesbalance Bac…7 per pack,£14.00,£2.00 each,
Niquitin Minis Mint 1.5Mg 100 Lozenges,Niquitin Minis Mint…,£22.00,,
Rennie Orange Heartburn & Indigestion Chewable Tablets,Rennie Orange H…24 per pack,£2.20,9.2p each,
Carex Antibacterial Moisture Plus Handwash,Carex Antibacte…250ml,£1.20,48p per 100ml,
Colgate Cavity Protection Toothpaste,Colgate Cavity Prot…75ml,£1.50,£2.00 per 100ml,
Radox  Feel Awake for Men Shower Gel,Radox  Feel Awake f…250ml,£1.00,40p per 100ml,
Niquitin Minis Mint 4Mg 100 Lozenges,Niquitin Minis Mint 4Mg 100 Lozenges100 per pack,£19.80,19.8p each,
Centrum Men 50 Plus MultiVitamins,Centrum Men 50 Plus MultiVitamins30 per pack,£5.00,16.7p each,"Offer price £5, was £6.50"
