name,Price Per Unit,Price Per Measure,Promotion
Wild Bird Coconut Fat Feast,Wild Bird Coc…,£1.20,,
Morrisons Wild Bird Peanuts,Morrisons Wild Bird Peanuts750g,£3.15,£4.20 per kg,
Glade Peaceful Relaxing Zen Candle,Glade Peaceful Re…,£4.00,,
"100 Great Breads, Paul Hollywood Cook Book","100 Great Breads, Paul Hollywood Cook Book",£17,£17.00 each,
3-In-One Multi Purpose Oil,3-In-One Multi Purpose Oil100ml,£3,£3.00 per 100ml,
3M Post-It Notes Cube,3M Post-It Notes Cube,£2,,
A4 Carry Folders,A4 Carry Folders4 per pack,£1.99,49.8p each,
"A4 DocBox Document Wallet, Clear","A4 DocBox Document Wallet, Clear",£5.99,£5.99 each,
A4 Feint & Margin Ruled Refill Pad,A4 Feint & Margin Ruled Refill Pad,£1.99,£1.99 each,
A4 NU EDUCATION PLAIN SKETCH BOOK - BLACK,A4 NU EDUCATION PLAIN SKETCH BOOK - BLACK,£2,£2.00 each,
A4 Polyprop Covered Notebook Blue 160 Pages ,A4 Polyprop Covered Notebook Blue 160 Pages ,£2.99,£2.99 each,
"Addis, Mop Replacement Head, 100% Microfibre ","Addis, Mop Replacement Head, 100% Microfibre ",£5,£5.00 each,
Addis 100% Microfibre Mop ,Addis 100% Microfibre Mop ,£7,£7.00 each,
"Addis 100% Recycled Cutlery Drainer, Light Grey","Addis 100% Recycled Cutlery Drainer, Light Grey",£2.50,£2.50 each,
"Addis 100% Recycled Draining Rack, Light Grey","Addis 100% Recycled Draining Rack, Light Grey",£4.60,£4.60 each,
Addis 100% Recycled Extra Large Washing Up Bowl 12L,Addis 100% Recycled Extra Lar…,£5.99,£5.99 each,
Addis 100% Recycled Large Washing Up Bowl 9.5L,Addis 100% Recycled Large…,£4,£4.00 each,
Addis 100% Recycled Round Washing Up Bowl 8L,Addis 100% Recycled Rou…,£3.80,£3.80 each,
"Addis 100% Recycled Washing Up Bowl, Light Grey 9.5L",Addis 100% Recycled Washing U…,£4,£4.00 each,
Addis 110cm x 35cm Perfect Fit Ironing Board Cover ,Addis 110cm x 35cm Perfect Fi…,£7.50,£7.50 each,
Addis 135cm x 46cm Perfect Fit Ironing Board Cover ,Addis 135cm x 46cm Perfect Fi…,£8.99,£8.99 each,
Addis  70cm x 40cm Natural Helmsley Door Mat ,Addis  70cm x 40cm Natura…,£8,£8.00 each,
Addis Bamboo Chenille Tile Wall Duster,Addis Bamboo Chenille Tile Wall Duster,£4.99,£4.99 each,
Addis Bamboo Palm Washing Up Dish Brush,Addis Bamboo Palm Washing Up Dish Brush,£3.50,£3.50 each,
Addis Bamboo Round Washing Up Dish Brush,Addis Bamboo Round Washing Up Dish Brush,£3.50,£3.50 each,
Addis Bamboo Stiff Floor Scrub Brush,Addis Bamboo Stiff Floor Scrub Brush,£3.99,£3.99 each,
"Addis Bamboo Window Shower Glass Squeegee, 23cm Wide, Bamboo",Addis Bamboo Window Shower Glass Sq…,£3.99,£3.99 each,
Addis Black/Grey Kitchen Food Compost Caddy,Addis Black/Grey Kitchen Food Compost Caddy,£12.99,£12.99 each,
"Addis Butler Sink Washing Up Bowl 12L , Metallic Silver",Addis Butler Sink Washing Up Bo…,£5.99,£5.99 each,
"Addis Closed Toilet Brush Set, Charcoal","Addis Closed Toilet Brush Set, Charcoal",£8.60,£8.60 each,
"Addis Closed Toilet Brush Set, White","Addis Closed Toilet Brush Set, White",£8.60,£8.60 each,
Addis ComfiGrip 3 Piece Broom,Addis ComfiGrip 3 Piece Broom,£11,£11.00 each,
Addis ComfiGrip Handled 100% Fluffy Microfibre Duster,Addis ComfiGrip Handled 100%…,£6,£6.00 each,
Addis ComfiGrip Long Handled Bottle Brush,Addis ComfiGrip Long Handled Bottle Brush,£3.49,£3.49 each,
Addis ComfiGrip Long Handled Washing Up Scourer,Addis ComfiGrip Long Hand…,£3.45,£3.45 each,
Addis ComfiGrip Squeegee,Addis ComfiGrip Squeegee,£3.50,£3.50 each,
Addis ComfiGrip Stiff Floor Cleaning Scrub Brush,Addis ComfiGrip Stiff Floor Cleaning Scrub Brush,£3.49,£3.49 each,
Addis ComfiGrip Washing Up Dish Brush with Scraper,Addis ComfiGrip Washing Up…,£3.40,£3.40 each,
Addis Dark Green Printed Clothes Peg Bag ,Addis Dark Green Printed Clothes Peg Bag ,£5,£5.00 each,
Addis Deluxe Ironing Board Cover Extra Thick 135X46cm,Addis Deluxe Ironing Board Co…,£12.99,£12.99 each,
"Addis Invisifix Bathroom Shower Storage Caddy Holder, Clear",Addis Invisifix Bathroom Shower S…,£17.20,£17.20 each,
