name,Price Per Unit,Price Per Measure,Promotion
Lenor Outdoorable Fabric Conditioner 55 Washes,Lenor Outdoor…770ml,£3.00,£3.90 per litre,
Flash Power Mop Liquid Refill Sea Minerals ,Flash Power Mop…1.25L,£4.00,£3.20 per litre,
Bold All-in-1 Pods Washing Capsules Spring Awakening Washes,Bold All-in-1…33 per pack,£7.00,21.2p each,"Offer price £7, was £10"
Bold All In 1 Pods Washing Capsules Spring Awakening Washes,Bold All In 1…51 per pack,£14.00,27.5p each,
Bold 2-in-1 Washing Liquid Pink Blossom Washes,Bold 2-in-1 Washi…1.995L,£7.00,35.1p per 100ml,"Offer price £7, was £9"
Lenor Outdoorable Fabric Conditioner 55 Washes,Lenor Outdoor…770ml,£3.00,£3.90 per litre,
Fairy Platinum Plus Auto Dishwasher Tablets Lemon,Fairy Platinum Plus…42 per pack,£9.00,21.4p each,"Offer price £9, was £11"
Flash Speed Mop Replacement Cloths,Flash Speed…12 per pack,£5.00,41.7p each,
Bold All-in-1 Pods Washing Capsules Pink Blossom Washes,Bold All-in-1 Pod…51 per pack,£14.00,27.5p each,
Bold All in 1 Pods Washing Capsules Lavender and Camomile Washes ,Bold All in 1 P…13 per pack,£3.50,26.9p each,"Offer price £3.50, was £4.50"
Lenor Ruby Jasmine Fabric Conditioner 48 Washes   ,Lenor Ruby Jasmine…1.68L,£3.00,£1.78 per litre,"Offer price £3, was £3.50"
Daz All In 1 Pods Whites & Colours Washing Liquid Capsules,Daz All In 1 Pods…12 per pack,£3.00,25p each,
Bold Washing Powder 38 Washes,Bold Washing…2.47kg,£7.00,£2.83 per kg,
Fairy All In One Dishwasher Tablets Lemon,Fairy All In One Dish…19 per pack,£4.00,21.1p each,
Bold All in 1 Pods Washing Capsules Lavender and Camomile Washes,Bold All in 1 P…33 per pack,£7.00,21.2p each,"Offer price £7, was £10"
Lenor Spring Awakening Tumble Dryer Sheets,Lenor Spring Aw…34 per pack,£2.00,5.9p each,"Offer price £2, was £3"
Bold All-in-1 Pods Washing Capsules Lavender & Camomile,Bold All-in-1 Pod…25 per pack,£7.00,28p each,
Lenor Fabric Conditioner Spring Awakening Scent 83 Washes,Lenor Fabric…2.9L,£4.75,£1.64 per litre,
Morrisons Dental Sticks Medium,Morrisons Denta…7 per pack,95p,13.6p each,
Morrisons Super Absorbent Cat Litter,Morrisons Sup…10L,£4.50,45p per litre,
Pedigree Schmackos Adult Dog Treats Meaty Multi Mix 20 Strips,Pedigree Schmac…144g,£1.95,£1.35 per 100g,Buy 2 for £2.50
Lenor Outdoorable Fabric Conditioner 55 Washes,Lenor Outdoorable Fabric…770ml,£3.00,£3.90 per litre,
Lenor Summer Breeze Fabric Conditioner 33 Washes,Lenor Summer Breeze…1.155L,£2.25,£1.95 per litre,
Lenor Gold Orchid Fabric Conditioner 30 Washes,Lenor Gold Orchid Fabric…1.05L,£3.25,£3.10 per litre,
Daz Washing Liquid 47 Washes,Daz Washing Liquid 47 Washes1.645L,£6.00,£3.65 per litre,
Flash Speed Mop Refills Pads,Flash Speed Mop Refills Pads20 per pack,£5.00,25p each,
Comfort Sensitive Skin Fabric Conditioner Pure 33 Washes,Comfort Sensitive Skin…0.99L,£2.25,£2.27 per litre,
Bold All-in-1 Pods Washing Capsules Spring Awakening Washes,Bold All-in-1 Pods Washing Capsul…13 per pack,£3.50,26.9p each,"Offer price £3.50, was £4.50"
Bold All in 1 Pods Washing Capsules Exotic Bloom Washes,Bold All in 1 Pods Washing Caps…33 per pack,£7,21.2p each,"Offer price £7, was £10"
Fairy Original All In One Auto Dishwashing Tablet,Fairy Original All In One Auto Dishwashing Tablet60 per pack,£9,15p each,"Offer price £9, was £11"
Lenor Outdoorable Fabric Conditioner x35,Lenor Outdoorable Fabric Conditioner x35490ml,£2.50,£5.10 per litre,"Offer price £2.50, was £4.50"
Viakal Classic Limescale Remover Spray,Viakal Classic Limescale Remover Spray500ml,£3,£6.00 per litre,
Viakal Fresh Limescale Remover Spray With Febreze,Viakal Fresh Limescale Remo…500ml,£3,£6.00 per litre,
	 Persil Bio Washing Liquid Laundry Detergent 53 Washes,	 Persil Bio Washing Liquid Lau…1431ml,£9,£6.29 per litre,
7th Heaven Renew You Collagen Wrinkle Filler,7th Heaven Renew You Collagen Wrinkle Filler,£3,,
7th Heaven Renew You Detox & Replenish Hydrogel Mask,7th Heaven Renew You Detox &…,£5,,
ACE For Colours Stain Remover ,ACE For Colours Stain Remover 1L,£2,£2.00 per litre,
ACE For Colour Stain Remover Spray,ACE For Colour Stain Remover Spray650ml,£3.25,£5.00 per litre,
Ace For Whites Stain Remover Power Mousse Spray,Ace For Whites Stain Remo…700ml,£3.25,£4.64 per litre,
ACE Ultra For Whites Fabric Stain Remover,ACE Ultra For Whites Fabric Stain Remover1L,£2,£2.00 per litre,
Addis 12 Litre Mop Pail & Wringer ,Addis 12 Litre Mop Pail & Wringer ,£7.99,£7.99 each,
Addis Bamboo Chenille Tile Wall Duster,Addis Bamboo Chenille Tile Wall Duster,£4.99,£4.99 each,
"Addis Bamboo Dustpan & Brush Set, Bamboo","Addis Bamboo Dustpan & Brush Set, Bamboo",£9.99,£9.99 each,
"Addis Bamboo Natural Ostrich Feather Long Reach Duster, Bamboo",Addis Bamboo Natural Ostrich Feathe…,£9.99,£9.99 each,
"Addis Bamboo Window Shower Glass Squeegee, 23cm Wide, Bamboo",Addis Bamboo Window Shower Glass Sq…,£3.99,£3.99 each,
Addis ComfiGrip Handled 100% Fluffy Microfibre Duster,Addis ComfiGrip Handled 100%…,£6,£6.00 each,
Addis ComfiGrip Long Handled Bottle Brush,Addis ComfiGrip Long Handled Bottle Brush,£3.49,£3.49 each,
Addis ComfiGrip Metallic Graphite Large Dustpan & Brush Set  ,Addis ComfiGrip Metallic Graphite L…,£6.85,£6.85 each,
Addis ComfiGrip Squeegee,Addis ComfiGrip Squeegee,£3.50,£3.50 each,
Addis ComfiGrip Washing Up Dish Brush with Scraper,Addis ComfiGrip Washing Up…,£3.40,£3.40 each,
Addis Fluffy Microfibre Mop,Addis Fluffy Microfibre Mop,£10,£10.00 each,
"Addis Jumbo Dish Brush, Metallic","Addis Jumbo Dish Brush, Metallic",£1.49,£1.49 each,
