name,Price Per Unit,Price Per Measure,Promotion
Whiskas 1+ Poultry Feasts Adult Wet Cat Food Pouches in Jelly,Whiskas 1+ Poultry…40 x 85g,£13.70,40.3p per 100g,
Whiskas 1+ Chicken Adult Dry Cat Food,Whiskas 1+ Chicken…1.9kg,£6.00,31.6p per 100g,
Whiskas 1+ Lamb Adult Dry Cat Food,Whiskas 1+ Lamb A…800g,£3.30,41.3p per 100g,
Dreamies Creamy No Sugar Cat Treats With Chicken ,Dreamies Crea…40g,£1.15,£2.88 per 100g,
Pedigree Biscrok Gravy Bones Adult Dog Treats Original Biscuits,Pedigree Biscro…400g,£1.50,£3.75 per kg,"Offer price £1.50, was £2.50"
Dreamies Creamy No Sugar Cat Treats With Salmon,Dreamies Crea…40g,£1.15,£2.88 per 100g,
Chappie Adult Wet Dog Food Tins Favourites In Loaf ,Chappie Adult Wet D…6 x 412g,£8.50,£3.44 per kg,
Whiskas 1+ Chicken Adult Dry Cat Food,Whiskas 1+ Chicken…800g,£3.30,41.3p per 100g,
Whiskas 1+ Poultry Feasts Adult Wet Cat Food Pouches in Jelly,Whiskas 1+ Poultry…12 x 85g,£4.50,44.1p per 100g,
Dreamies Cat Treat Biscuits with Chicken,Dreamies Cat Treat Bi…60g,£1.95,£32.50 per kg,Buy 2 for £2.50
Whiskas 1+ Mixed Menu Adult Wet Cat Food Pouches in Jelly,Whiskas 1+ Mixed…12 x 85g,£4.50,44.1p per 100g,
Whiskas 11+ Poultry Feasts Senior Wet Cat Food Pouches in Jelly,Whiskas 11+ Poultry…12 x 85g,£4.50,44.1p per 100g,
Whiskas Kitten Mixed Menu Wet Cat Food Pouches in Jelly,Whiskas Kitten Mi…12 x 85g,£4.50,44.1p per 100g,
Whiskas Farm Menu Adult Wet Cat Food in Jelly Tin,Whiskas Farm Menu A…6 x 400g,£7.75,32.3p per 100g,
Whiskas 7+ Poultry Feasts Senior Wet Cat Food Pouches in Jelly ,Whiskas 7+ Poultry…12 x 85g,£4.50,44.1p per 100g,
Whiskas 1+ Meaty Meals Adult Wet Cat Food Pouches in Gravy,Whiskas 1+ Meaty…12 x 85g,£4.50,44.1p per 100g,
Whiskas 11+ Fish Favourites Senior Wet Cat Food Pouches in Jelly,Whiskas 11+ Fish Fa…12 x 85g,£4.50,44.1p per 100g,
Pedigree Dentastix Daily Adult Small Dog Treats 35 x Dental Sticks ,Pedigree Dentastix Da…550g,£7.00,£1.27 per 100g,
Whiskas 1+ Salmon Adult Dry Cat Food,Whiskas 1+ Salmon A…800g,£3.30,41.3p per 100g,
Cesar Country Stew Adult Wet Dog Food Trays Special Selection,Cesar Country Stew…8 x 150g,£6.75,£5.63 per kg,
Morrisons Savers Liquid Disinfectant,Morrisons Savers Li…1L,33p,33p per litre,
Morrisons Savers Biological Laundry Liquid 28 Washes,Morrisons Saver…1L,£1.80,£1.80 per litre,
