name,Price Per Unit,Price Per Measure,Promotion
Jungle Formula Maximum Insect Repellent Pump with DEET,Jungle Formul…90ml,£10.00,£111.11 per litre,
Radox Feel Ready Shower Gel,Radox Feel Re…250ml,£1.00,40p per 100ml,
Listerine Fresh Burst Mouthwash,Listerine Fresh…500ml,£2.00,40p per 100ml,"Offer price £2, was £3.35"
Radox Revive Shower Gel,Radox Revive Shower Gel250ml,£1.00,40p per 100ml,
Corsodyl Mild Mint Complete Protection Mouthwash,Corsodyl Mild Mint…500ml,£3.00,60p per 100ml,"Offer price £3, was £5"
Lynx Africa Body Spray Deodorant Aerosol,Lynx Africa Bod…150ml,£2.50,£1.67 per 100ml,
Sensodyne Daily Care Soft Bristle Sensitive Toothbrush,Sensodyne Daily…,£2.50,,
New Radox Shower Therapy Active Gel ,New Radox Sho…250ml,£1.00,40p per 100ml,
Sensodyne Repair & Protect Deep Repair Sensitive Toothpaste,Sensodyne Rep…75ml,£3.75,£5.00 per 100ml,"Offer price £3.75, was £5.75"
Jungle Formula Insect Repellent Maximum Aerosol,Jungle Formul…125ml,£10.00,£8.00 per 100ml,
Dove Gradual Self Tan Mousse Medium To Dark,Dove Gradua…150ml,£5.50,£3.67 per 100ml,"Offer price £5.50, was £10"
Lynx Africa Shower Gel,Lynx Africa Shower Gel500ml,£2.75,55p per 100ml,
Sensodyne Sensitive Teeth Toothpaste Sensitivity & Gum Whitening,Sensodyne Sensi…75ml,£3.50,£4.67 per 100ml,"Offer price £3.50, was £5"
Tresemme Salon Styling Extra Hold Hair Spray,Tresemme Salon St…400ml,£4.00,£1.00 per 100ml,"Offer price £4, was £5"
Lynx Epic Fresh Grapefruit & Tropical Pineapple ,Lynx Epic Fresh Gra…150ml,£2.50,£1.67 per 100ml,
Dove Gradual Self Tan Body Mousse Fair To Medium ,Dove Gradual Self T…150ml,£5.50,£3.67 per 100ml,"Offer price £5.50, was £10"
Tresemme Freeze Hold Hairspray,Tresemme Freeze…250ml,£3.00,£1.20 per 100ml,
Simple Soothing Facial Toner ,Simple Soothi…200ml,£3.00,£1.50 per 100ml,Buy 2 for £5
Morrisons Multi Vitamins    ,Morrisons Multi Vitamins    60 per pack,£1.00,1.7p each,
Morrisons Junior Paracetamol Suspension,Morrisons Jun…100ml,£2.15,£2.15 per 100ml,
