name,Price Per Unit,Price Per Measure,Promotion
Rajah Paprika,Rajah Paprika400g,£1.99,5p per 10g,
Rajah Coarse Black Pepper,Rajah Coarse Black Pepper100g,£1.49,14.9p per 10g,
Rajah Dhaniya Whole Coriander Seeds,Rajah Dhani…50g,99p,£1.98 per 100g,
Rajah Whole Green Cardomoms,Rajah Whole G…50g,£3.00,£6.00 per 100g,
Rajah Mild Madras Curry Powder,Rajah Mild Madr…100g,99p,9.9p per 10g,
Rajah Fennel,Rajah Fennel300g,£1.75,58.3p per 100g,
Rajah Garam Masala,Rajah Garam Masala400g,£2.50,6.3p per 10g,
Rajah Hot Madras Curry Powder,Rajah Hot Mad…100g,99p,9.9p per 10g,
Rajah Whole Cloves,Rajah Whole Cloves200g,£4.30,£2.15 per 100g,
Rajah Hot Madras Curry Powder,Rajah Hot Mad…400g,£1.75,4.4p per 10g,"Offer price £1.75, was £1.99"
KTC Red Kidney Beans in Salted Water (400g),KTC Red Kidney…240g,65p,£2.71 per kg,Buy 4 for £2
Morrisons Wheat Biscuits,Morrisons Wheat Biscuits24 per pack,£1.85,7.7p each,
Pot Noodle Chicken & Mushroom Standard,Pot Noodle Ch…90g,£1.19,£13.22 per kg,Buy 4 for £3.50
Rajah All Purpose Seasoning,Rajah All Purpose Seasoning100g,50p,5p per 10g,
Rajah All Purpose Seasoning,Rajah All Purpose Seasoning400g,£1.75,4.4p per 10g,"Offer price £1.75, was £1.99"
Rajah Bay Leaves,Rajah Bay Leaves10g,99p,99p per 10g,
Rajah Cassia Bark,Rajah Cassia Bark50g,64p,12.8p per 10g,
Rajah Garam Masala ,Rajah Garam Masala 85g,99p,£1.16 per 100g,
Rajah Paprika Powder,Rajah Paprika Powder100g,99p,9.9p per 10g,
4Move Active Magnesium + Vitamins Lime Drink,4Move Active Magnesium + Vitamins Lime Drink250ml,60p,24p per 100ml,
Africa's Fine Cassava Flour,Africa's Fine Cassava Flour1kg,£3,£3.00 per kg,
Africa's Finest Plantain Fufu ,Africa's Finest Plantain Fufu 680g,£4.40,£6.47 per kg,
Ajumma Republic Korean Hot Red Pepper Paste,Ajumma Republic Korean Hot Red Pepper Paste500g,£2.75,55p per 100g,
Aleyna Mini Gherkins Cornichons (500g),Aleyna Mini Gherkins Cornichons (500g)275g,£1.75,63.6p per 100g,
Aleyna Pickled Chilli Peppers (440g),Aleyna Pickled Chilli Peppers (440g)170g,£1.39,81.8p per 100g,
Aleyna Sliced Green Jalapeno Peppers (480g),Aleyna Sliced Green Jalapeno Peppers (480g)240g,£1.15,47.9p per 100g,
Aleyna Sliced Red Jalapeno Peppers (480g),Aleyna Sliced Red Jalapeno Peppers (480g)240g,£1.15,47.9p per 100g,
Aleyna Sun Dried Tomatoes In Oil  ,Aleyna Sun Dried Tomatoes In Oil  350g,£1.75,£5.00 per kg,
Al'Fez Apricot & Coriander Tagine Sauce ,Al'Fez Apricot & Coriander Tagine Sauce 450g,£2.49,55.3p per 100g,
Al'Fez Harissa Chicken Tagine Kit,Al'Fez Harissa Chicken Tagine Kit370g,£2.50,67.6p per 100g,"Offer price £2.50, was £3"
Al'Fez Harissa Paste ,Al'Fez Harissa Paste 180g,£2.99,£1.66 per 100g,
Al'Fez Lebanese Falafel Kit,Al'Fez Lebanese Falafel Kit150g,£1.89,£1.26 per 100g,
Al'fez Middle Eastern Za'Atar Flatbreads 2 Pack,Al'fez Middle Eastern Za'Atar Flatbreads 2 Pack260g,£2.25,86.5p per 100g,
Al'Fez Moroccan Meatball Sauce ,Al'Fez Moroccan Meatball Sauce 450g,£2.49,55.3p per 100g,
Al'Fez Moroccan Spiced Cous Cous,Al'Fez Moroccan Spiced Cous Cous200g,£1.85,£9.25 per kg,
Al'Fez Moroccan Style Lemon Chicken Tagine Kit,Al'Fez Moroccan Style Lemon Chicken Tagine Kit370g,£2.50,67.6p per 100g,"Offer price £2.50, was £3"
Al'Fez Moroccan Style Meatball Tagine Kit ,Al'Fez Moroccan Style Meatball Tagine Kit 370g,£2.50,67.6p per 100g,"Offer price £2.50, was £3"
Al'Fez Smoky Harissa Sauce ,Al'Fez Smoky Harissa Sauce 450g,£2.49,55.3p per 100g,
Argentina        White Beans      (Gama) ,Argentina        White Beans      (Gama) 500g,£2.15,£4.30 per kg,
Aroy-D Coconut Milk Lait De Coco ,Aroy-D Coconut Milk Lait De Coco 400ml,£1.49,37.3p per 100ml,
Ayoola Inst.Noodles Curry ,Ayoola Inst.Noodles Curry 70g,40p,57.1p per 100g,
Ayumi Multani Mati Clay,Ayumi Multani Mati Clay100g,£2,£2.00 per 100g,
Ayumi Neem Powder,Ayumi Neem Powder100g,£2,£2.00 per 100g,
Ayumi Organic Neem Oil,Ayumi Organic Neem Oil100ml,£4.50,£4.50 per 100ml,
Ayumi Organic Virgin Coconut Oil,Ayumi Organic Virgin Coconut Oil290ml,£9,£3.10 per 100ml,
Ayumi Pure Almond Oil,Ayumi Pure Almond Oil150ml,£4.50,£3.00 per 100ml,
Ayumi Pure Caster Oil,Ayumi Pure Caster Oil150ml,£5,£3.33 per 100ml,
Ayumi Pure Glycerine,Ayumi Pure Glycerine150ml,£4.50,£3.00 per 100ml,
Ayumi Pure Olive Oil,Ayumi Pure Olive Oil150ml,£4,£2.67 per 100ml,
Badshah Basmati Rice,Badshah Basmati Rice10kg,£16,£1.60 per kg,"Offer price £16, was £16.99"
Badshah Basmati Rice,Badshah Basmati Rice5kg,£8.50,£1.70 per kg,"Offer price £8.50, was £8.99"
Badshah Superior Aged Basmati Rice,Badshah Superior Aged Basmati Rice2kg,£3.50,£1.75 per kg,
Badshah Xl Basmati Rice ,Badshah Xl Basmati Rice 10kg,£20,£2.00 per kg,
Baldwins Original Sarsaparilla,Baldwins Original Sarsaparilla1L,£2.15,£2.15 per litre,
Bangthai Original Sriracha Extra Hot Chilli Sauce,Bangthai Original Sriracha Extra Hot Chilli Sauce435ml,£3.39,77.9p per 100ml,
Barkan Classic Sauvignon Blanc ,Barkan Classic Sauvignon Blanc 75cl,£12,£12.00 per 75cl,
Barry's Tea Gold Blend Tea Bags,Barry's Tea Gold Blend Tea Bags250g,£3.20,£1.28 per 100g,"Offer price £3.20, was £3.49"
Barry's Tea Irish Breakfast Tea Bags,Barry's Tea Irish Breakfast Tea Bags250g,£3,£1.20 per 100g,"Offer price £3, was £3.49"
Basra Date Syrup,Basra Date Syrup450g,£3,66.7p per 100g,
Bebeto Assorted Fruit Twists ,Bebeto Assorted Fruit Twists 220g,£1,45.5p per 100g,
Bebeto Big Fizzy Mix,Bebeto Big Fizzy Mix150g,£1,66.7p per 100g,
Bebeto Big Mix,Bebeto Big Mix150g,£1,66.7p per 100g,
Bebeto Fizzy Blue Raspberry Laces,Bebeto Fizzy Blue Raspberry Laces220g,£1,45.5p per 100g,
Bebeto Fizzy Strawberry Laces,Bebeto Fizzy Strawberry Laces220g,£1,45.5p per 100g,
Bebeto Fizzy Strawberry Pencils,Bebeto Fizzy Strawberry Pencils220g,£1,45.5p per 100g,
Bebeto Fizzy Watermelons,Bebeto Fizzy Watermelons150g,£1,66.7p per 100g,
Bebeto Party Gummy Mix ,Bebeto Party Gummy Mix 400g,£2,50p per 100g,
Bebeto Pick & Mix Party Pack,Bebeto Pick & Mix Party Pack750g,£4,53.3p per 100g,
Bebeto Strawberries,Bebeto Strawberries150g,£1,66.7p per 100g,
Bebeto Strawberry Trunks,Bebeto Strawberry Trunks220g,£1,45.5p per 100g,
Bigen            Black Brown 58       ,Bigen            Black Brown 58       ,£3.50,,
Bigen            Dark Brown 57       ,Bigen            Dark Brown 57       ,£3.50,,
Bigen For Men Brown Black 102  ,Bigen For Men Brown Black 102  ,£6.50,,
Bigen For Men Dark Brown 103 ,Bigen For Men Dark Brown 103 ,£6.50,,
Bigen For Men    Natural Black 101    ,Bigen For Men    Natural Black 101    ,£6.50,,
Bigen Oriental Black 59     ,Bigen Oriental Black 59     ,£3.50,,
Bionaturo Beetroot Juice ,Bionaturo Beetroot Juice 300ml,£1.95,65p per 100ml,
